Date,javascript,sql,java,c#,php,python,c++,ruby,c,objective-c
4/5/16,134,41,104,37,23,35,16,26,60,3
4/6/16,143,44,108,29,27,66,11,38,40,7
4/7/16,132,35,104,39,18,48,16,22,20,7
4/8/16,141,31,103,30,22,36,30,35,70,6
4/9/16,70,11,65,8,8,27,8,18,60,3
4/10/16,52,19,46,14,11,17,8,10,40,2
4/11/16,127,35,102,42,20,45,18,26,70,5
4/12/16,133,50,105,44,24,44,13,34,20,8
4/13/16,132,51,106,35,21,34,30,37,110,7
4/14/16,129,45,106,37,29,49,18,30,50,11
4/15/16,109,39,85,29,32,39,24,20,80,5
4/16/16,43,15,34,6,5,27,12,18,10,5
4/17/16,51,16,33,9,8,19,8,20,30,3
4/18/16,119,32,96,46,19,46,13,23,60,3
4/19/16,141,53,100,29,25,48,6,21,40,4
4/20/16,157,52,125,29,31,52,28,38,100,5
4/21/16,117,40,97,51,27,39,13,21,40,5
4/22/16,110,52,103,32,25,35,15,27,30,8
4/23/16,62,12,49,15,5,24,8,16,10,4
4/24/16,52,15,48,11,7,28,19,9,30,1
4/25/16,109,34,93,32,17,44,13,25,90,6
4/26/16,137,29,110,40,13,40,14,31,70,0
4/27/16,128,64,96,35,19,46,16,31,40,4
4/28/16,126,40,108,34,11,51,20,25,40,5
4/29/16,129,38,89,31,20,46,9,22,60,5
4/30/16,49,9,46,12,6,33,16,18,60,4
5/1/16,62,12,49,7,8,25,9,18,70,0
5/2/16,115,34,86,35,16,39,19,13,60,3
5/3/16,147,44,119,35,21,38,20,29,20,7
5/4/16,117,40,97,31,19,54,16,15,80,8
5/5/16,99,59,73,30,23,46,23,22,40,6
5/6/16,109,49,78,23,21,36,11,32,20,3
5/7/16,59,19,40,9,7,29,11,18,60,6
5/8/16,60,11,42,10,11,30,15,11,0,3
5/9/16,115,35,79,28,19,51,8,20,60,7
5/10/16,129,52,93,42,17,53,18,20,40,7
5/11/16,132,50,92,32,15,54,16,21,80,5
5/12/16,135,33,103,40,16,49,9,18,50,6
5/13/16,116,44,80,34,26,60,20,23,90,4
5/14/16,54,13,37,8,10,23,8,17,0,1
5/15/16,47,11,38,15,6,22,4,15,30,1
5/16/16,119,24,79,30,18,40,6,16,30,1
5/17/16,135,43,101,44,29,46,13,24,60,5
5/18/16,109,43,86,27,26,49,22,34,50,7
5/19/16,127,49,99,41,35,41,9,14,60,6
5/20/16,112,21,81,37,15,47,16,19,70,3
5/21/16,49,9,34,9,8,19,8,10,10,4
5/22/16,47,14,35,7,6,22,11,10,30,0
5/23/16,106,29,78,33,21,40,18,26,10,0
5/24/16,122,47,92,41,14,55,17,19,10,3
5/25/16,115,41,94,39,24,34,12,32,20,13
5/26/16,147,51,109,51,15,51,13,35,80,10
5/27/16,121,41,87,33,13,45,14,24,20,2
5/28/16,44,12,32,9,15,19,5,8,10,1
5/29/16,50,11,40,8,10,28,11,7,20,2
5/30/16,64,27,52,12,12,23,7,10,20,6
5/31/16,82,29,66,24,14,52,13,36,30,8
6/1/16,135,39,96,32,16,39,17,24,20,10
6/2/16,124,43,88,29,21,57,18,20,30,5
6/3/16,112,31,82,22,15,45,21,26,40,2
6/4/16,59,11,46,9,7,19,0,10,30,3
6/5/16,52,20,26,11,9,24,5,32,20,2
6/6/16,114,43,76,21,24,50,11,27,50,2
6/7/16,107,65,75,29,16,45,12,20,50,5
6/8/16,115,50,99,37,18,48,20,20,10,3
6/9/16,131,29,102,39,20,47,15,18,30,4
6/10/16,106,36,68,23,18,49,12,33,40,2
6/11/16,56,14,37,10,4,15,4,11,30,2
6/12/16,54,11,46,7,8,23,9,10,0,1
6/13/16,90,55,74,37,17,38,10,29,40,2
6/14/16,123,45,84,35,28,46,13,25,50,5
6/15/16,124,46,92,30,30,58,22,39,20,1
6/16/16,134,37,98,31,22,48,15,24,30,5
6/17/16,106,45,76,21,16,44,20,37,10,2
6/18/16,65,15,45,11,11,17,17,5,10,4
6/19/16,77,13,44,9,10,24,11,7,30,2
6/20/16,87,30,73,37,17,31,17,18,10,5
6/21/16,126,43,93,29,22,37,25,20,70,2
6/22/16,125,68,98,36,27,57,15,37,40,3
6/23/16,160,48,107,42,25,44,23,29,60,3
6/24/16,130,41,90,31,17,49,15,14,60,6
6/25/16,47,13,47,8,7,21,7,7,20,2
6/26/16,56,13,33,11,12,16,9,12,40,1
6/27/16,83,35,68,32,17,49,15,13,70,5
6/28/16,104,50,73,44,21,66,17,38,30,13
6/29/16,115,42,86,33,21,48,19,24,40,5
6/30/16,106,35,84,30,25,55,14,15,40,4
7/1/16,119,26,104,16,24,46,20,17,40,3
7/2/16,42,14,31,6,8,27,5,16,30,3
7/3/16,57,7,43,10,10,17,10,12,40,1
7/4/16,60,11,35,8,21,31,6,11,30,0
7/5/16,101,41,79,30,17,43,14,21,40,5
7/6/16,110,57,87,37,29,63,17,20,110,4
7/7/16,110,59,85,32,18,62,13,27,70,1
7/8/16,117,42,82,27,17,54,23,34,30,2
7/9/16,62,10,50,5,8,16,8,14,10,2
7/10/16,38,6,34,9,5,16,15,5,20,2
7/11/16,134,47,83,30,23,49,19,26,40,0
7/12/16,111,51,75,28,17,54,25,32,60,4
7/13/16,114,40,82,30,19,57,13,23,40,4
7/14/16,131,45,101,39,14,60,22,15,30,6
7/15/16,145,28,92,28,17,50,20,30,60,5
7/16/16,45,14,37,5,11,18,12,12,10,2
7/17/16,38,12,31,9,8,33,11,18,30,2
7/18/16,105,34,74,22,16,50,20,14,40,3
7/19/16,116,42,78,26,17,64,18,9,70,2
7/20/16,151,33,101,33,18,69,18,21,30,3
7/21/16,136,69,92,32,16,64,27,28,30,6
7/22/16,135,48,86,40,20,41,16,11,30,1
7/23/16,72,12,40,13,8,32,13,17,20,3
7/24/16,67,9,44,6,12,21,11,11,40,2
7/25/16,119,35,77,40,15,48,14,17,50,0
7/26/16,91,61,86,33,26,52,12,16,20,1
7/27/16,88,33,69,32,21,58,10,14,50,8
7/28/16,112,46,79,41,20,46,13,16,30,3
7/29/16,110,42,84,42,18,60,12,22,20,1
7/30/16,61,13,46,7,8,32,9,19,10,0
7/31/16,61,9,36,10,9,29,3,11,10,0
8/1/16,97,38,69,38,21,34,7,31,20,6
8/2/16,110,42,82,34,20,56,18,24,0,6
8/3/16,122,55,89,41,20,56,14,18,40,2
8/4/16,114,34,75,32,14,45,9,20,20,5
8/5/16,120,38,90,17,18,59,21,20,70,5
8/6/16,47,16,29,16,14,18,10,10,30,3
8/7/16,67,6,43,7,11,17,7,9,0,0
8/8/16,113,37,83,28,18,32,15,13,10,5
8/9/16,109,45,81,38,25,50,5,31,30,2
8/10/16,107,36,75,37,12,59,17,21,50,5
8/11/16,111,24,95,30,26,38,16,17,40,4
8/12/16,108,33,80,32,16,56,13,19,30,1
8/13/16,47,17,41,9,11,27,3,11,20,0
8/14/16,61,18,33,4,9,29,4,12,10,3
8/15/16,84,53,74,28,12,48,4,23,20,3
8/16/16,110,32,76,30,8,37,13,17,30,3
8/17/16,92,48,65,35,20,57,9,23,20,1
8/18/16,103,61,77,34,15,52,7,18,50,1
8/19/16,103,47,84,32,28,51,11,22,20,3
8/20/16,55,14,42,11,5,33,5,4,40,0
8/21/16,68,21,43,4,8,15,3,16,30,1
8/22/16,104,44,66,30,17,43,10,23,20,1
8/23/16,108,48,75,27,18,54,14,9,0,1
8/24/16,103,43,77,29,27,44,22,31,30,2
8/25/16,103,43,78,35,20,55,11,16,30,5
8/26/16,124,35,78,26,13,40,9,14,40,3
8/27/16,63,10,42,11,13,24,8,7,30,1
8/28/16,45,25,37,12,10,27,5,14,20,1
8/29/16,112,34,89,40,17,43,10,28,10,2
8/30/16,124,61,97,27,17,43,17,13,60,2
8/31/16,115,43,80,29,20,56,13,18,100,5
9/1/16,116,42,90,23,16,52,10,16,40,2
9/2/16,84,32,64,22,14,44,11,16,50,3
9/3/16,44,21,27,11,4,28,3,18,10,1
9/4/16,53,9,41,6,3,23,12,7,70,3
9/5/16,66,12,39,9,15,25,7,7,40,1
9/6/16,105,23,75,27,17,30,7,20,40,3
9/7/16,111,33,81,24,13,75,9,24,0,2
9/8/16,126,39,88,26,19,39,11,17,50,3
9/9/16,106,33,90,20,21,48,15,10,50,0
9/10/16,33,18,32,5,16,15,8,15,20,1
9/11/16,45,10,34,8,10,15,5,8,80,0
9/12/16,75,29,65,20,12,25,14,21,50,1
9/13/16,101,46,67,32,14,32,16,33,50,3
9/14/16,107,31,100,25,19,42,16,28,60,5
9/15/16,113,57,84,29,14,37,13,26,50,6
9/16/16,97,42,77,27,27,47,13,20,70,5
9/17/16,50,13,50,13,13,14,6,10,30,1
9/18/16,52,21,32,8,12,43,6,12,70,2
9/19/16,118,34,82,17,16,41,14,20,30,3
9/20/16,128,46,86,29,25,46,10,25,60,5
9/21/16,112,63,90,30,21,52,15,12,30,3
9/22/16,131,43,93,32,13,58,8,26,30,3
9/23/16,111,28,78,29,14,41,9,19,40,7
9/24/16,52,10,36,9,7,22,9,12,70,1
9/25/16,44,9,37,12,4,29,7,10,30,0
9/26/16,87,28,78,23,14,41,18,22,40,5
9/27/16,124,44,93,27,18,41,15,23,110,4
9/28/16,124,26,99,20,16,51,12,18,70,5
9/29/16,115,44,82,31,12,40,12,14,80,1
9/30/16,113,39,66,21,21,58,25,17,20,0
10/1/16,57,13,35,12,4,15,13,8,20,0
10/2/16,37,12,41,9,8,27,5,3,40,0
10/3/16,106,38,80,26,14,42,14,11,110,3
10/4/16,125,47,93,34,20,54,18,21,50,3
10/5/16,123,44,109,40,17,43,19,17,40,7
10/6/16,108,27,79,30,19,55,11,16,90,2
10/7/16,120,31,91,32,10,46,15,15,40,1
10/8/16,49,20,39,13,11,29,7,18,50,0
10/9/16,52,14,42,9,9,22,7,15,60,1
10/10/16,94,25,64,23,18,35,11,14,40,2
10/11/16,149,49,94,31,30,47,19,15,60,1
10/12/16,121,31,92,23,19,48,12,19,30,4
10/13/16,115,56,84,24,15,57,18,27,30,1
10/14/16,128,33,91,24,19,53,12,15,50,0
10/15/16,57,13,42,5,7,22,9,7,30,2
10/16/16,64,27,44,8,13,35,5,9,40,2
10/17/16,87,44,64,22,12,49,15,16,10,2
10/18/16,100,50,77,27,14,58,24,24,20,5
10/19/16,129,43,95,31,15,67,23,25,80,6
10/20/16,102,44,80,31,19,52,17,25,30,6
10/21/16,81,40,70,39,29,57,14,20,70,1
10/22/16,41,11,39,8,7,25,5,13,40,2
10/23/16,33,10,32,9,6,24,12,13,20,1
10/24/16,94,25,76,35,10,56,9,19,80,4
10/25/16,95,47,87,29,27,51,18,24,40,3
10/26/16,158,38,108,33,14,40,5,13,20,4
10/27/16,121,59,103,32,22,55,17,16,40,2
10/28/16,92,59,74,24,17,45,13,27,50,6
10/29/16,44,17,37,12,10,28,9,13,50,2
10/30/16,44,24,31,10,7,32,10,9,70,2
10/31/16,110,33,79,20,15,53,15,18,40,2
11/1/16,93,36,83,19,16,46,16,20,70,3
11/2/16,127,26,101,30,13,59,23,29,100,3
11/3/16,135,37,102,33,14,52,25,29,70,2
11/4/16,109,46,80,32,17,57,15,34,100,2
11/5/16,61,16,48,14,7,20,7,11,30,0
11/6/16,68,12,63,9,9,28,5,11,60,1
11/7/16,100,53,85,23,24,51,17,19,100,2
11/8/16,101,41,80,30,21,74,14,22,50,0
11/9/16,83,42,78,28,16,51,19,17,20,1
11/10/16,94,59,80,41,21,44,16,21,20,2
11/11/16,97,42,76,28,13,36,9,13,20,3
11/12/16,64,12,49,8,8,25,12,11,70,0
11/13/16,59,20,46,8,7,31,7,7,10,6
11/14/16,86,35,62,22,20,72,16,11,50,1
11/15/16,110,46,95,31,29,58,18,23,50,2
11/16/16,94,50,77,29,23,60,17,13,90,3
11/17/16,146,39,107,26,17,55,14,20,60,2
11/18/16,112,49,88,31,7,58,13,15,90,6
11/19/16,59,20,39,12,10,30,7,11,30,0
11/20/16,46,22,46,13,15,36,6,10,50,3
11/21/16,94,41,84,25,18,55,11,27,60,2
11/22/16,137,60,100,19,15,60,10,21,50,3
11/23/16,102,38,80,23,14,40,13,29,30,2
11/24/16,56,17,43,6,5,29,6,7,20,1
11/25/16,37,13,38,11,7,30,15,16,40,1
11/26/16,62,13,53,7,8,29,15,11,10,2
11/27/16,68,23,44,9,12,31,9,7,30,2
11/28/16,104,38,87,26,19,59,11,24,20,4
11/29/16,105,50,92,28,14,50,22,11,80,6
11/30/16,113,56,92,34,18,55,15,22,30,4
12/1/16,123,59,94,28,12,54,16,15,50,1
12/2/16,114,62,89,30,11,50,23,13,70,3
12/3/16,68,19,49,9,7,26,8,9,30,2
12/4/16,56,13,45,4,14,38,14,13,90,1
12/5/16,90,60,77,23,16,56,18,17,30,2
12/6/16,94,59,76,28,17,46,11,17,50,1
12/7/16,118,42,108,35,22,60,23,13,70,2
12/8/16,134,35,114,34,16,59,21,27,30,3
12/9/16,96,51,78,28,24,51,17,18,50,2
12/10/16,62,13,50,10,4,32,8,2,20,2
12/11/16,61,12,46,3,6,23,17,14,30,0
12/12/16,105,42,62,25,10,44,16,31,30,0
12/13/16,127,46,103,22,18,51,9,25,40,4
12/14/16,136,51,99,45,25,57,11,23,30,1
12/15/16,130,38,103,24,20,65,13,31,60,4
12/16/16,105,28,75,27,16,52,11,14,30,2
12/17/16,65,22,46,14,10,32,5,15,0,1
12/18/16,75,17,64,5,8,34,19,9,30,2
12/19/16,96,52,80,20,15,67,11,23,60,2
12/20/16,96,47,73,22,22,63,10,12,30,5
12/21/16,114,61,83,33,17,70,16,21,50,1
12/22/16,115,35,79,21,16,53,14,22,70,1
12/23/16,87,20,77,24,13,33,8,21,40,0
12/24/16,53,4,46,9,9,30,5,12,40,1
12/25/16,38,10,33,15,7,17,5,7,30,1
12/26/16,46,8,35,7,10,24,6,19,0,1
12/27/16,88,37,55,19,13,39,10,21,30,4
12/28/16,100,25,58,24,25,31,12,22,10,1
12/29/16,106,28,72,19,26,37,10,21,10,3
12/30/16,107,23,75,20,9,39,10,22,50,3
12/31/16,59,5,54,7,6,37,11,15,30,0
